date,TAIEX,QQQ
2025-09-22,25880.599609375,601.4251098632812
2025-09-23,26247.369140625,597.4302978515625
2025-09-24,26196.73046875,595.3329467773438
2025-09-25,26023.849609375,592.7662963867188
2025-09-26,25580.3203125,595.203125
2025-09-29,,597.9595947265625
2025-09-30,25820.5390625,599.5974731445312
2025-10-01,25982.91015625,602.4737548828125
2025-10-02,26378.390625,604.9505615234375
2025-10-03,26761.060546875,602.4038696289062
2025-10-06,,606.9280395507812
2025-10-07,27211.94921875,603.732177734375
2025-10-08,27063.6796875,610.6532592773438
2025-10-09,27301.919921875,609.9141845703125
2025-10-10,,588.741455078125
2025-10-13,26923.419921875,601.2353515625
2025-10-14,26793.150390625,597.2305297851562
2025-10-15,27275.7109375,601.445068359375
2025-10-16,27647.869140625,599.2179565429688
2025-10-17,27302.369140625,603.1528930664062
2025-10-20,27688.630859375,610.7530517578125
2025-10-21,27752.41015625,610.5933227539062
2025-10-22,27648.91015625,604.7108764648438
2025-10-23,27532.259765625,609.7943725585938
2025-10-24,,616.305908203125
2025-10-27,27993.630859375,627.2818603515625
2025-10-28,27949.109375,632.1055908203125
2025-10-29,28294.740234375,634.9519653320312
2025-10-30,28287.529296875,625.2444458007812
2025-10-31,28233.349609375,628.2605590820312
2025-11-03,28334.58984375,631.2666625976562
2025-11-04,28116.560546875,618.4531860351562
2025-11-05,27717.060546875,622.47802734375
2025-11-06,27899.44921875,610.8829345703125
2025-11-07,27651.41015625,608.9553833007812
2025-11-10,27869.509765625,622.4280395507812
2025-11-11,27784.94921875,620.7702026367188
2025-11-12,27947.08984375,620.2808227539062
2025-11-13,27903.560546875,607.6171875
2025-11-14,27397.5,608.0765380859375
2025-11-17,27447.310546875,602.8832397460938
2025-11-18,26756.119140625,595.542724609375
2025-11-19,26580.119140625,599.09814453125
2025-11-20,27426.359375,584.9163818359375
2025-11-21,26434.939453125,589.3107299804688
2025-11-24,26504.240234375,604.3812866210938
2025-11-25,26912.169921875,608.1065063476562
2025-11-26,27409.5390625,613.4796142578125
2025-11-27,27554.529296875,
2025-11-28,27626.48046875,618.4531860351562
2025-12-01,27342.529296875,616.3758544921875
2025-12-02,27564.26953125,621.1996459960938
2025-12-03,27793.0390625,622.7177124023438
2025-12-04,27795.7109375,622.138427734375
2025-12-05,27980.890625,624.6751708984375
2025-12-08,28303.779296875,623.4767456054688
2025-12-09,28182.599609375,624.2457275390625
2025-12-10,28400.73046875,626.8024291992188
2025-12-11,28024.75,624.7750854492188
2025-12-12,28198.01953125,612.8304443359375
2025-12-15,27866.939453125,609.75439453125
2025-12-16,27536.66015625,610.9628295898438
2025-12-17,27525.169921875,599.6373901367188
2025-12-18,27468.529296875,608.3262329101562
2025-12-19,27696.349609375,616.2559814453125
2025-12-22,28149.640625,619.2100219726562
2025-12-23,28310.470703125,622.1099853515625
2025-12-24,28371.98046875,623.9299926757812
2025-12-26,28556.01953125,623.8900146484375
2025-12-29,28810.890625,620.8699951171875
2025-12-30,28707.130859375,619.4299926757812
2025-12-31,28963.599609375,614.3099975585938
2026-01-02,29349.810546875,613.1199951171875
2026-01-05,30105.0390625,617.989990234375
2026-01-06,30576.30078125,623.4199829101562
2026-01-07,30435.470703125,624.02001953125
2026-01-08,30360.55078125,620.469970703125
2026-01-09,30288.9609375,626.6500244140625
2026-01-12,30567.2890625,627.1699829101562
2026-01-13,30707.220703125,626.239990234375
2026-01-14,30941.779296875,619.5499877929688
2026-01-15,30810.580078125,621.780029296875
2026-01-16,31408.69921875,621.260009765625
2026-01-19,31639.2890625,
2026-01-20,31759.990234375,608.0599975585938
2026-01-21,31246.369140625,616.280029296875
2026-01-22,31746.080078125,620.760009765625
2026-01-23,31961.509765625,622.719970703125
2026-01-26,32064.51953125,625.4600219726562
2026-01-27,32317.919921875,631.1300048828125
2026-01-28,32803.8203125,633.219970703125
2026-01-29,32536.26953125,629.4299926757812
2026-01-30,32063.75,621.8699951171875
2026-02-02,31624.029296875,626.1400146484375
2026-02-03,32195.359375,616.52001953125
2026-02-04,32289.810546875,605.75
2026-02-05,31801.26953125,597.030029296875
2026-02-06,31782.919921875,609.6500244140625
2026-02-09,32404.619140625,614.3200073242188
2026-02-10,33072.96875,611.469970703125
2026-02-11,33605.7109375,613.1099853515625
2026-02-12,,600.6400146484375
2026-02-13,,601.9199829101562
2026-02-17,,601.2999877929688
2026-02-18,,605.7899780273438
2026-02-19,,603.469970703125
2026-02-20,,608.8099975585938
2026-02-23,33773.26171875,601.4099731445312
2026-02-24,34700.8203125,607.8699951171875
2026-02-25,35413.0703125,616.6799926757812
2026-02-26,35414.48828125,609.239990234375
2026-02-27,,607.2899780273438
2026-03-02,35095.08984375,608.0900268554688
2026-03-03,34323.6484375,601.5800170898438
2026-03-04,32828.87890625,610.75
2026-03-05,33672.94140625,608.9099731445312
2026-03-06,33599.5390625,599.75
2026-03-09,32110.419921875,607.760009765625
2026-03-10,32771.87109375,607.77001953125
2026-03-11,34114.19140625,607.6900024414062
2026-03-12,33581.859375,597.260009765625
2026-03-13,33400.3203125,593.719970703125
2026-03-16,33342.51171875,600.3800048828125
2026-03-17,33836.5703125,603.3099975585938
2026-03-18,34348.578125,594.9000244140625
2026-03-19,33689.6796875,593.02001953125
2026-03-20,33543.87890625,582.0599975585938
